ZLSPR,Name
00,Altstadt
01,Linkes-Innufer
02,Innere-Stadt-Nord
03,Innere-Stadt-West
04,Innere-Stadt-Ost
05,Dreiheiligen
06,Saggen-West
07,Saggen-Nord
08,Saggen-Ost
10,Wilten-Ost
11,Wilten-Mitte
12,Wilten-Süd
13,Wilten-West
14,Sieglanger
15,Mentlberg
20,Pradl-Nord
21,Pradl-Mitte-West
22,Pradl-Mitte-Ost
23,Pradl-Süd
24,Pradl-Ost
25,Reichenau-West
26,Reichenau-Ost
30,Hötting-Mitte
31,Hungerburg-Hötting
32,Höttinger-Au-Ost
33,Höttinger-Au-West
34,Lohbachsiedlung
35,Hörtnaglsiedlung
36,Hötting-West
40,Mühlau-Dorf
41,Hungerburg-Mühlau
42,Mühlau-Ost
43,Mühlau-Schießstand
50,Amras-Süd
51,Amras-West
52,Amras-Nord
60,Arzl-Dorf
61,Arzl-West
62,Arzl-Süd
63,Arzl-OD
70,Vill
80,Igls
